고유항목수	고유항목

87	건강/미용식품
	유흥주점
	한식
	종합소매점
	커피점/카페
	부동산중개
	사무/문구/컴퓨터
	자동차/이륜차
	광고/인쇄
	의복의류
	학문교육기타
	학원-보습교습입시
	주택수리
	자동차/자동차용품
	모텔/여관/여인숙
	가정/주방/인테리어
	세탁/가사서비스
	학원기타
	기타판매업
	일식/수산물
	사진/광학/정밀기기소매
	학원-예능취미체육
	선물/팬시/기념품
	PC/오락/당구/볼링등
	가전제품소매
	행사/이벤트
	유아교육
	이/미용/건강
	제과제빵떡케익
	무도/유흥/가무
	분식
	양식
	패스트푸드
	닭/오리요리
	호텔/콘도
	대중목욕탕/휴게
	별식/퓨전요리
	음/식료품소매
	철물/난방/건설자재소매
	인력/고용/용역알선
	개인/가정용품수리
	평가/개발/관리
	학원-음악미술무용
	취미/오락관련소매
	장례/묘지
	페인트/유리제품소매
	중고품소매/교환
	사진
	운송/배달/택배
	놀이/여가/취미
	주유소/충전소
	화장품소매
	학원-어학
	물품기기대여
	가방/신발/액세서리
	개인서비스
	운동/경기용품소매
	중식
	의약/의료품소매
	요가/단전/마사지
	도서관/독서실
	학원-창업취업취미
	스포츠/운동
	가구소매
	경마/경륜/성인오락
	분양
	책/서적/도서
	애견/애완/동물
	부페
	기타음식업
	시계/귀금속소매
	학원-자격/국가고시
	예술품/골동품/수석/분재
	캠프/별장/펜션
	기타서비스업
	학원-컴퓨터
	음식배달서비스
	연극/영화/극장
	유아용품
	법무세무회계
	종교용품판매
	민박/하숙
	실내운동시설
	대행업
	예식/의례/관혼상제
	운영관리시설
	실외운동시설
