고유항목수	list

89	한식
	패스트푸드
	유흥주점
	일식/수산물
	커피점/카페
	음/식료품소매
	학원-예능취미체육
	광고/인쇄
	학원-음악미술무용
	이/미용/건강
	닭/오리요리
	별식/퓨전요리
	자동차/이륜차
	종합소매점
	제과제빵떡케익
	부동산중개
	학원-컴퓨터
	주유소/충전소
	학문교육기타
	학원-보습교습입시
	유아교육
	자동차/자동차용품
	캠프/별장/펜션
	운송/배달/택배
	개인/가정용품수리
	건강/미용식품
	민박/하숙
	무도/유흥/가무
	가정/주방/인테리어
	선물/팬시/기념품
	장례/묘지
	기타판매업
	물품기기대여
	사진/광학/정밀기기소매
	철물/난방/건설자재소매
	부페
	세탁/가사서비스
	분식
	PC/오락/당구/볼링등
	학원-어학
	개인서비스
	의복의류
	취미/오락관련소매
	놀이/여가/취미
	페인트/유리제품소매
	가구소매
	가방/신발/액세서리
	요가/단전/마사지
	책/서적/도서
	학원기타
	화장품소매
	사무/문구/컴퓨터
	양식
	경마/경륜/성인오락
	중고품소매/교환
	애견/애완/동물
	연극/영화/극장
	주택수리
	모텔/여관/여인숙
	시계/귀금속소매
	인력/고용/용역알선
	학원-자격/국가고시
	예식/의례/관혼상제
	분양
	중식
	기타음식업
	대중목욕탕/휴게
	도서관/독서실
	운동/경기용품소매
	사진
	호텔/콘도
	가전제품소매
	대행업
	음식배달서비스
	기타서비스업
	의약/의료품소매
	평가/개발/관리
	예술품/골동품/수석/분재
	학원-창업취업취미
	스포츠/운동
	행사/이벤트
	법무세무회계
	유아용품
	종교용품판매
	실내운동시설
	부동산관련서비스
	운영관리시설
	유스호스텔
	실외운동시설
